"u_account","u_account.name","u_account.u_number","acv","acv_usd","annual_list_value","annual_list_value_usd","contract","notes","product_price","quantity","sales_price","product_price.product.u_family_3","product_price.product.u_family_2","number"
"Vodafone Group Plc","Vodafone Group Plc","ACCT0014556","378","451.71","373.8","420"," 2016MA002781-VGPLC","","Now Platform App Engine Starter - Platform User (EUR)","5","6.3","App Engine Starter","App Engine - Legacy","CLI0123579"
"Vittoria Assicurazioni SpA","Vittoria Assicurazioni SpA","ACCT0095007","3,772.8","4,602.06","0","0","CON0624439","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","314.4","App Engine ITSM","Now Platform App Engine","CLI0202828"
"Viterra Inc","Viterra Inc","ACCT0006219","94,374","74,856.93","739,584","577,800","13013AD","","App Engine - Fulfiller   (CAD)","321","24.5","App Engine Fulfiller","Now Platform App Engine","CLI0194157"
"Visions Federal Credit Union","Visions Federal Credit Union","ACCT0074625","5,280","5,280","5,280","5,280","CON0094004","","App Engine - Unrestricted User (USD)","22","20","App Engine Unrestricted User","Now Platform App Engine","CLI0135016"
"Vion Corp","Vion Corp","ACCT0025569","13,500","13,500","15,000","15,000","CON1155017","","Now Platform App Engine Standard - Platform User (USD)","50","22.5","App Engine Standard","App Engine - Legacy","CLI0164636"
"Vigilante ATI, Inc","Vigilante ATI, Inc","ACCT0154943","5,292","5,292","0","0","CON5013805","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","441","App Engine CSM","Now Platform App Engine","CLI0167171"
"Vifor Intl AG","Vifor Intl AG","ACCT0031127","61,286.4","73,004.36","0","0","CON0030143","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","5,107.2","App Engine ITSM","Now Platform App Engine","CLI0188627"
"Victorian Commission For Gambling And Liquor Regulation","Victorian Commission For Gambling And Liquor Regulation","ACCT0068885","5,964","3,744.87","6,132","4,200","CON0083895","","Now Platform App Engine Starter - Platform User (AUD)","50","9.94","App Engine Starter","App Engine - Legacy","CLI0129521"
"VicRoads","VicRoads","ACCT0020536","134,190","93,516.66","191,700","135,000","CON1024344","","Now Platform App Engine Standard - Platform User (AUD)","450","24.85","App Engine Standard","App Engine - Legacy","CLI0100873"
"ViacomCBS Inc.","ViacomCBS Inc.","ACCT0000945","34,093.8","34,093.8","0","0","34209DD-VIAC","","Now Platform® App Engine for IT Service Management - Module (USD)","1","2,841.15","App Engine ITSM","Now Platform App Engine","CLI0168092"
"VFS Data Processing Pvt Ltd","VFS Data Processing Pvt Ltd","ACCT0072693","10,200","10,200","15,000","15,000","CON1122726","","Now Platform App Engine Standard - Platform User (USD)","50","17","App Engine Standard","App Engine - Legacy","CLI0101698"
"Veterans Affairs","Veterans Affairs","ACCT0007835","2,340,000","2,340,000","90,000,000","90,000,000","CON0642224","","App Engine - Fulfiller   (USD)","50,000","3.9","App Engine Fulfiller","Now Platform App Engine","CLI0155910"
"Vesta Solutions, Inc.","Vesta Solutions, Inc.","ACCT0039569","27,720","27,720","39,600","39,600","CON0048533","","App Engine - Fulfiller   (USD)","22","105","App Engine Fulfiller","Now Platform App Engine","CLI0210655"
"Vertex Pharmaceuticals Inc","Vertex Pharmaceuticals Inc","ACCT0001033","280,560","280,560","1,402,800","1,402,800","16212SM","","App Engine - Unrestricted User (USD)","5,845","4","App Engine Unrestricted User","Now Platform App Engine","CLI0211042"
"Versant Health","Versant Health","ACCT0010367","145,530","145,530","198,000","198,000","CON0670694-DV","","App Engine - Fulfiller   (USD)","110","110.25","App Engine Fulfiller","Now Platform App Engine","CLI0166680"
"Veritiv Operating Company","Veritiv Operating Company","ACCT0080164","14,400","14,400","18,000","18,000","CON0600535","","App Engine - Fulfiller   (USD)","10","120","App Engine Fulfiller","Now Platform App Engine","CLI0215181"
"Verint Systems Inc","Verint Systems Inc","ACCT0018079","11,160","11,160","27,000","27,000","CON0053375","","App Engine - Fulfiller   (USD)","15","62","App Engine Fulfiller","Now Platform App Engine","CLI0193042"
"Verifone France SAS","Verifone France SAS","ACCT0073983","5,672.16","6,726.05","7,550.76","8,484","CON0091415","","Now Platform App Engine Starter - Platform User (EUR)","101","4.68","App Engine Starter","App Engine - Legacy","CLI0181720"
"Veoneer","Veoneer","ACCT0121884","8,400","10,026.24","32,040","36,000","CON0851295","","App Engine - Fulfiller   (EUR)","20","35","App Engine Fulfiller","Now Platform App Engine","CLI0209578"
"Veolia Environment SA","Veolia Environment SA","ACCT0017080","20,640","24,664.8","68,886","77,400","BV-20612NP","","App Engine - Fulfiller   (EUR)","43","40","App Engine Fulfiller","Now Platform App Engine","CLI0145324"
"Velux AS","Velux AS","ACCT0021432","48,266.4","58,358.9","247,860","306,000","BV-27414ACCE","","App Engine - Fulfiller   (EUR)","170","23.66","App Engine Fulfiller","Now Platform App Engine","CLI0180982"
"Velocity Smart Consulting","Velocity Smart Consulting","ACCT0152997","1,915.2","2,491.58","2,736","3,600","CON5006374","","App Engine - Fulfiller   (GBP)","2","79.8","App Engine Fulfiller","Now Platform App Engine","CLI0150840"
"Vancouver Fraser Port Authority","Vancouver Fraser Port Authority","ACCT0077062","5,945.88","5,945.88","0","0","CON5031036","","Now Platform® App Engine for IT Service Management - Module (USD)","1","495.49","App Engine ITSM","Now Platform App Engine","CLI0204957"
"Valio Oy","Valio Oy","ACCT0022946","3,688.8","4,497.75","32,040","36,000","CON0099415","","App Engine - Fulfiller   (EUR)","20","15.37","App Engine Fulfiller","Now Platform App Engine","CLI0175791"
"VA EXPERT TECNOLOGIA DA INFORMAÇÃO LTDA","VA EXPERT TECNOLOGIA DA INFORMAÇÃO LTDA","ACCT0101541","112,259.88","21,218.19","0","0","CON1170257","","Now Platform® App Engine for Customer Service Management - Module (BRL)","1","9,354.99","App Engine CSM","Now Platform App Engine","CLI0189971"
"UXC Connect","UXC Connect","ACCT0008288","100,650","100,650","0","0","BV-33911KEY","","Now Platform® App Engine for IT Service Management - Module (USD)","1","8,387.5","App Engine ITSM","Now Platform App Engine","CLI0156221"
"Utah State University","Utah State University","ACCT0008201","6,739.2","6,739.2","0","0","CON1120795","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","561.6","App Engine Professional","App Engine","CLI0206052"
"Utah State University","Utah State University","ACCT0008201","4,492.8","4,492.8","4,492.8","4,492.8","07512MB-UNIV 2","","I2 Now Platform® App Engine - Fulfiller User (USD)","10","37.44","App Engine Professional","App Engine","CLI0207121"
"Utah State University","Utah State University","ACCT0008201","0","0","0","0","CON1120795","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","158","0","App Engine Professional","App Engine","CLI0206043"
"Utah State University","Utah State University","ACCT0008201","0","0","0","0","07512MB-UNIV 2","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","5","0","App Engine Professional","App Engine","CLI0207122"
"Utah State University","Utah State University","ACCT0008201","141,523.2","141,523.2","141,523.2","141,523.2","CON1120795","","I2 Now Platform® App Engine - Fulfiller User (USD)","315","37.44","App Engine Professional","App Engine","CLI0206056"
"USI Insurance Services LLC","USI Insurance Services LLC","ACCT0004756","9,999.96","9,999.96","0","0","02808JM","","Now Platform® App Engine for IT Service Management - Module (USD)","1","833.33","App Engine ITSM","Now Platform App Engine","CLI0144871"
"USAF AFTAC Patrick AFB","USAF AFTAC Patrick AFB","ACCT0007869","324,756","324,756","523,800","523,800","CON5022153","","App Engine - Fulfiller   (USD)","291","93","App Engine Fulfiller","Now Platform App Engine","CLI0197522"
"USAA Real Estate","USAA Real Estate","ACCT0134142","39,000","39,000","39,000","39,000","CON1080086","","Now Platform App Engine Standard - Platform User (USD)","130","25","App Engine Standard","App Engine - Legacy","CLI0098443"
"US Navy – NAVSEA 08 – Naval Reactors","US Navy – NAVSEA 08 – Naval Reactors","ACCT0079111","323,616","323,616","1,440,000","1,440,000","CON0551299","","App Engine - Fulfiller   (USD)","800","33.71","App Engine Fulfiller","Now Platform App Engine","CLI0152798"
"US Navy - NAVSEA 04","US Navy - NAVSEA 04","ACCT0096929","67,500","67,500","90,000","90,000","CON0623796","","App Engine - Fulfiller   (USD)","50","112.5","App Engine Fulfiller","Now Platform App Engine","CLI0208694"
"US Fish & Wildlife Service","US Fish & Wildlife Service","ACCT0013992","762,240","762,240","960,000","960,000","CON1103826","","Now Platform App Engine Standard - Platform User (USD)","3,200","19.85","App Engine Standard","App Engine - Legacy","CLI0198585"
"US Dept Of Energy DOE – eDARS","US Dept Of Energy DOE – eDARS","ACCT0122600","21,600","21,600","24,000","24,000","04812AK-ADDPROD","","Now Platform App Engine Standard - Platform User (USD)","80","22.5","App Engine Standard","App Engine - Legacy","CLI0184637"
"US Dept Of Energy DOE - iJC3","US Dept Of Energy DOE - iJC3","ACCT0122100","6,480","6,480","7,200","7,200","CON0978499-ADDL","","App Engine - Fulfiller   (USD)","4","135","App Engine Fulfiller","Now Platform App Engine","CLI0168078"
"US Army PEO C3T","US Army PEO C3T","ACCT0090013","33,120","33,120","36,000","36,000","CON1346414","","Now Platform App Engine Professional - Platform User (USD)","30","92","App Engine Professional","App Engine - Legacy","CLI0170273"
"US Army Corps of Engineers - Information Technology USACE-IT","US Army Corps of Engineers - Information Technology USACE-IT","ACCT0139022","159,320.4","159,320.4","0","0","CON1103479","","Now Platform® App Engine for IT Service Management - Module (USD)","1","13,276.7","App Engine ITSM","Now Platform App Engine","CLI0198263"
"US Army - Global Combat Support System","US Army - Global Combat Support System","ACCT0094723","1,890","1,890","2,100","2,100","CON0574852","","Now Platform App Engine Starter - Platform User (USD)","25","6.3","App Engine Starter","App Engine - Legacy","CLI0211177"
"UPL Ltd.","UPL Ltd.","ACCT0087891","165,000","165,000","3,000,000","3,000,000","CON0941785","","App Engine - Unrestricted User (USD)","12,500","1.1","App Engine Unrestricted User","Now Platform App Engine","CLI0145641"
"University of Toronto Scarborough","University of Toronto Scarborough","ACCT0154609","30,787.2","25,035.84","113,184","86,400","CON5012479","","App Engine - Fulfiller   (CAD)","48","53.45","App Engine Fulfiller","Now Platform App Engine","CLI0209444"
"University Of Toronto Mississauga","University Of Toronto Mississauga","ACCT0025767","0","0","0","0","CON0069297","","Now Platform App Engine Standard - Platform User (CAD)","0","0","App Engine Standard","App Engine - Legacy","CLI0132736"
"University Of Toronto Mississauga","University Of Toronto Mississauga","ACCT0025767","44,898","35,118.29","132,048","126,000","CON0069297","","App Engine - Fulfiller   (CAD)","70","53.45","App Engine Fulfiller","Now Platform App Engine","CLI0177754"
"University Of Toronto","University Of Toronto","ACCT0000751","2,862","2,234.04","7,860","7,500","CON0069297-ADDL","","Now Platform App Engine Standard - Platform User (CAD)","25","9.54","App Engine Standard","App Engine - Legacy","CLI0132636"
"University Of Texas Southwest Medical Center","University Of Texas Southwest Medical Center","ACCT0008715","75,479.04","75,479.04","113,218.56","113,218.56","CON1068631","","I2 Now Platform® App Engine - Fulfiller User (USD)","252","24.96","App Engine Professional","App Engine","CLI0146476"
"University Of Texas At Arlington","University Of Texas At Arlington","ACCT0010070","30,101.76","30,101.76","0","0","CON1100084 ","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","2,508.48","App Engine Professional","App Engine","CLI0158006"
"University Of Texas At Arlington","University Of Texas At Arlington","ACCT0010070","15,724.8","15,724.8","15,724.8","15,724.8","CON1100084 ","","I2 Now Platform® App Engine - Fulfiller User (USD)","35","37.44","App Engine Professional","App Engine","CLI0158007"
"University Of Texas At Arlington","University Of Texas At Arlington","ACCT0010070","0","0","0","0","CON1100084 ","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","18","0","App Engine Professional","App Engine","CLI0158001"
"University of San Francisco","University of San Francisco","ACCT0000862","10,454.4","10,454.4","0","0","CON1184727","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","871.2","App Engine Professional","App Engine","CLI0203655"
"University Of Kentucky Lexington","University Of Kentucky Lexington","ACCT0004034","15,724.8","15,724.8","0","0","CON0595600","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,310.4","App Engine Professional","App Engine","CLI0155489"
"University Of Colorado At Boulder","University Of Colorado At Boulder","ACCT0010062","25,159.68","25,159.68","0","0","CON1079022","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","2,096.64","App Engine Professional","App Engine","CLI0187345"
"University Of Central Florida","University Of Central Florida","ACCT0008207","15,814.68","15,814.68","0","0","CON0057524","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,317.89","App Engine Professional","App Engine","CLI0179371"
"University of California, Risk and Safety Solutions","University of California, Risk and Safety Solutions","ACCT0021997","2,905.32","2,905.32","0","0","CON009140UC - RISK","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","242.11","App Engine Professional","App Engine","CLI0170945"
"University Of California Santa Barbara","University Of California Santa Barbara","ACCT0006041","6,619.44","6,619.44","0","0","CON009140UC - UCSB","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","551.62","App Engine Professional","App Engine","CLI0171496"
"University Of California San Francisco","University Of California San Francisco","ACCT0005824","58,047","58,047","0","0","CON009140UC - SFCP","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","4,837.25","App Engine Professional","App Engine","CLI0172705"
"University Of California Riverside","University Of California Riverside","ACCT0009252","14,526.72","14,526.72","0","0","CON009140UC - RIVE","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,210.56","App Engine Professional","App Engine","CLI0172980"
"University Of California Office Of President","University Of California Office Of President","ACCT0006558","15,155.76","15,155.76","0","0","CON009140UC - UCOP","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,262.98","App Engine Professional","App Engine","CLI0173271"
"University Of California Merced","University Of California Merced","ACCT0006751","5,990.4","5,990.4","0","0","CON009140UC - UCM","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","499.2","App Engine Professional","App Engine","CLI0172020"
"University Of California Los Angeles - Health System","University Of California Los Angeles - Health System","ACCT0006371","35,942.4","35,942.4","0","0","CON009140UC - UCLAMD","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","2,995.2","App Engine Professional","App Engine","CLI0172379"
"University of California Los Angeles","University of California Los Angeles","ACCT0006035","11,441.64","11,441.64","0","0","CON009140UC - UCLA","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","953.47","App Engine Professional","App Engine","CLI0171881"
"University Of California Irvine School Of Medicine","University Of California Irvine School Of Medicine","ACCT0073066","3,144.96","3,144.96","0","0","CON009140UC - UCIM","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","262.08","App Engine Professional","App Engine","CLI0178605"
"University Of California Irvine Medical Center","University Of California Irvine Medical Center","ACCT0007771","11,980.8","11,980.8","0","0","CON009140UC - IRMC","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","998.4","App Engine Professional","App Engine","CLI0175388"
"University of California Berkeley - Campus Shared Services","University of California Berkeley - Campus Shared Services","ACCT0026054","16,293.84","16,293.84","0","0","CON009140UC - BKSS","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,357.82","App Engine Professional","App Engine","CLI0172433"
"University Of California Berkeley","University Of California Berkeley","ACCT0001766","2,276.4","2,276.4","0","0","CON009140UC - BERK","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","189.7","App Engine Professional","App Engine","CLI0170929"
"University Of California - UCSD Health Sciences","University Of California - UCSD Health Sciences","ACCT0007151","2,635.8","2,635.8","0","0","CON009140UC - SDHS","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","219.65","App Engine Professional","App Engine","CLI0171507"
"University Of Bradford","University Of Bradford","ACCT0024754","4,788","6,640.36","6,840","9,000","BV-19514PIIT","","App Engine - Fulfiller   (GBP)","5","79.8","App Engine Fulfiller","Now Platform App Engine","CLI0207679"
"Universitat De Girona","Universitat De Girona","ACCT0071761","45,960","54,618.86","128,160","180,000","CON0089151","","App Engine - Fulfiller   (EUR)","100","38.3","App Engine Fulfiller","Now Platform App Engine","CLI0152660"
"Universal Service Administrative Co","Universal Service Administrative Co","ACCT0035692","31,860","31,860","59,400","59,400","CON0537766","","App Engine - Fulfiller   (USD)","33","80.45","App Engine Fulfiller","Now Platform App Engine","CLI0185949"
"UnityBPO, Inc - Amedisys Inc","UnityBPO, Inc - Amedisys Inc","ACCT0159373","8,100","8,100","9,000","9,000","LCN0013162 - AMED","","App Engine - Fulfiller   (USD)","5","135","App Engine Fulfiller","Now Platform App Engine","CLI0192871"
"UnityBPO, Inc","UnityBPO, Inc","ACCT0086474","74,520","74,520","124,200","124,200","CON0575859","","App Engine - Fulfiller   (USD)","46","135","App Engine Fulfiller","Now Platform App Engine","CLI0193292"
"UnitingCare Queensland","UnitingCare Queensland","ACCT0010715","81,363.24","60,744.99","0","0","13411KEY","","Now Platform® App Engine for IT Service Management - Module (AUD)","1","6,780.27","App Engine ITSM","Now Platform App Engine","CLI0211535"
"UnitedLex Corp","UnitedLex Corp","ACCT0129784","49,500","49,500","82,500","82,500","CON0997252","","Now Platform App Engine Standard - Platform User (USD)","275","15","App Engine Standard","App Engine - Legacy","CLI0123380"
"UnitedHealth Group - Corporate Systems","UnitedHealth Group - Corporate Systems","ACCT0133667","27,132","27,132","0","0","CON1041486","","Now Platform® App Engine for IT Service Management - Module (USD)","1","2,261","App Engine ITSM","Now Platform App Engine","CLI0199336"
"United Nations Intl Computing Centre UNICC - UNDP","United Nations Intl Computing Centre UNICC - UNDP","ACCT0149196","108,000","108,000","270,000","270,000","LCN0013171-UNDP","","App Engine - Fulfiller   (USD)","150","60","App Engine Fulfiller","Now Platform App Engine","CLI0140785"
"United Nations Children's Fund","United Nations Children's Fund","ACCT0071911","151,800","151,800","0","0","CON0613635","","Now Platform® App Engine for IT Service Management - Module (USD)","1","12,650","App Engine ITSM","Now Platform App Engine","CLI0158652"
"UniKomm","UniKomm","ACCT0038210","31,500","31,500","45,000","45,000","BV-34614JW","","App Engine - Fulfiller   (USD)","25","105","App Engine Fulfiller","Now Platform App Engine","CLI0193209"
