Acct Number,Account,Cacv
ACCT0009986,Amgen Inc,"15,606,783.99"
ACCT0016701,AstraZeneca UK Ltd,"15,475,108.22"
ACCT0007537,Shell PLC,"15,358,422.43"
ACCT0001662,Nike Inc,"15,319,794.19"
ACCT0006024,T-Mobile USA Inc,"15,300,050.72"
ACCT0015447,Providence Health & Services,"15,183,016.88"
ACCT0038262,Takeda Pharmaceuticals Intl AG,"15,177,318.33"
ACCT0000395,Novartis Corp,"15,141,775.49"
ACCT0006834,Stellantis,"15,063,407.43"
ACCT0174647,DAF Enterprise Services,"14,813,377.26"
ACCT0000998,The Toronto-Dominion Bank,"14,670,013.18"
ACCT0089836,Lockheed Martin EBS,"14,595,501.44"
ACCT0004462,Cognizant Technology Solutions U.S. Corporation,"14,398,338.36"
ACCT0032918,Santander Global Technology and Operations S.L.,"14,261,185.18"
ACCT0139044,Northrop Grumman Corp - Internal,"13,706,657.64"
ACCT0001311,"Edward D. Jones & Co., L.P.","13,701,995.43"
ACCT0011881,Mercedes-Benz Group AG,"13,666,997.26"
ACCT0163422,Amazon OpsTechIT,"13,621,500.52"
ACCT0019204,Petrobras Brasileiro SA,"13,613,593.69"
ACCT0011318,F Hoffmann-La-Roche Ltd,"13,506,326.59"
ACCT0001722,CommonSpirit Health,"13,430,796.82"
ACCT0010945,Defense Intelligence Agency,"13,403,659.28"
ACCT0021568,HM Revenue & Customs,"13,305,253.24"
ACCT0074361,Cisco IT,"13,285,239.79"
ACCT0001690,Starbucks Corp,"12,941,417.52"
ACCT0031555,Koninklijke Ahold Delhaize NV,"12,839,188.71"
ACCT0004428,American Express Co,"12,791,663.99"
ACCT0000173,Bristol-Myers Squibb Co,"12,631,258.69"
ACCT0216777,Infosys - Lumen,"12,587,821.68"
ACCT0001485,General Motors LLC,"12,569,534.52"
ACCT0001406,Boeing Co,"12,459,346.02"
ACCT0119349,DHS - Cybersecurity and Infrastructure Security Agency (CISA),"12,326,111.16"
ACCT0000346,Lloyds Banking Group,"12,174,334.09"
ACCT0016014,The Bank Of New York Mellon Corp,"12,100,619.04"
ACCT0091434,Xerox Corp,"12,064,852.68"
ACCT0005178,UBS Financial Services Inc,"12,052,502.91"
ACCT0004735,ASML Netherlands BV,"12,029,726.28"
ACCT0026099,Pure Storage Inc,"12,003,291.12"
ACCT0007102,Centene Corp,"12,002,064.74"
ACCT0170548,Infosys - RTX/Collins (FedRAMP),"11,901,792.72"
ACCT0000979,State Street Bank And Trust Co,"11,885,132.00"
ACCT0008756,Goldman Sachs Group Inc,"11,878,168.07"
ACCT0014268,Australia and New Zealand Banking Group Ltd,"11,833,567.24"
ACCT0163978,Infosys - Bayer,"11,785,220.66"
ACCT0050485,Enel SpA,"11,762,605.51"
ACCT0005919,Bank of Nova Scotia,"11,754,629.44"
ACCT0000989,TJX Companies Inc,"11,743,575.16"
ACCT0213498,Infosys - National Westminster,"11,711,659.59"
ACCT0172222,Infosys - Telstra,"11,695,336.86"
ACCT0000195,Kaiser Foundation Hospitals,"11,641,639.04"
ACCT0005926,Desjardins Technology Group,"11,624,136.05"
ACCT0031560,LTIMindtree Limited,"11,605,671.57"
ACCT0159361,Capgemini - Mc Donalds,"11,452,030.08"
ACCT0024527,Banco Bradesco SA,"11,438,468.68"
ACCT0004936,Koch Industries Inc,"11,381,627.18"
ACCT0000420,Fidelity Technology Group LLC,"11,374,260.56"
ACCT0068007,UnitedHealth Group - OptumTech,"11,373,088.12"
ACCT0005513,Social Security Administration,"11,306,594.14"
ACCT0213754,Infosys - Standard Chartered Bank (SCB),"11,303,262.12"
ACCT0006970,Health Administration Corp,"11,276,800.47"
ACCT0000278,Morgan Stanley Services Group Inc,"11,218,321.44"
ACCT0006133,GlaxoSmithKline LLC,"11,088,719.08"
ACCT0009133,GDIT - MPO,"11,083,773.36"
ACCT0077038,HDFC Bank Ltd,"10,995,432.96"
ACCT0000924,Commonwealth Bank Of Australia,"10,956,092.21"
ACCT0217252,Infosys - HP Inc.,"10,875,437.28"
ACCT0089853,Zscaler Inc,"10,739,238.19"
ACCT0000186,Discover Financial Services,"10,602,322.75"
ACCT0004344,Marriott Intl Inc,"10,594,161.56"
ACCT0019592,Banco Do Brasil SA,"10,487,958.59"
ACCT0059426,Sanofi Winthrop Industrie,"10,466,073.24"
ACCT0135662,Infosys - Westpac,"10,442,618.51"
ACCT0164846,IBM - Veterans Affairs,"10,426,729.93"
ACCT0000639,Siemens AG,"10,398,619.69"
ACCT0004849,BP Intl Ltd,"10,307,083.73"
ACCT0019134,Dept For Work & Pensions,"10,196,011.47"
ACCT0000510,McKesson Corp,"10,128,205.32"
ACCT0147434,NEOM,"10,120,206.63"
ACCT0157588,Infosys - Vanguard,"10,095,171.05"
ACCT0009180,Bank Of America Corp,"10,039,063.06"
ACCT0009854,Royal Bank Of Canada,"10,016,157.88"
ACCT0120568,DISA - Services Directorate,"9,957,007.40"
ACCT0064534,PayPal Inc,"9,941,216.58"
ACCT0004193,Equifax Inc,"9,893,505.34"
ACCT0001293,CDW LLC,"9,856,287.89"
ACCT0005799,Nestle Operational Services Worldwide SA,"9,854,655.89"
ACCT0153526,EYCT (CT Primary),"9,817,311.60"
ACCT0000190,Federal Reserve Bank of Richmond,"9,796,215.12"
ACCT0000055,Johnson & Johnson,"9,729,070.73"
ACCT0014520,LSEG Business Services Limited,"9,662,662.72"
ACCT0010123,Rio Tinto,"9,575,782.72"
ACCT0005406,NTT Ltd Group Services United Kingdom Limited,"9,543,722.63"
ACCT0009838,Mayo Foundation For Medical Education And Research,"9,531,046.42"
ACCT0009519,Ascension Health-IS Inc dba Ascension Information Services,"9,461,727.92"
ACCT0007776,Unilever UK Ltd,"9,412,277.33"
ACCT0007198,DHS: USCIS US Citizenship & Immigration Service,"9,378,256.72"
ACCT0004568,Intercontinental Exchange | NYSE,"9,249,450.09"
ACCT0065931,AXA Technology SAS_Silva,"9,229,343.73"
ACCT0214044,Cognizant - Manulife,"9,200,760.84"
ACCT0215290,Deloitte Consulting - McDonald's,"9,183,532.08"
ACCT0078295,PEO Digital,"9,138,142.23"
ACCT0004902,JT International SA,"9,112,443.92"
ACCT0066425,Proquire LLC,"9,080,042.12"
ACCT0025887,AbbVie Inc,"9,058,923.40"
ACCT0014128,BHP Group Operations Pty Ltd,"9,028,638.31"
ACCT0005267,S&P Global Inc,"9,012,014.48"
ACCT0007200,DHS - Immigration And Customs Enforcement,"9,000,413.76"
ACCT0000640,Verizon Wireline,"8,994,902.29"
ACCT0006399,Equinix Inc,"8,983,325.77"
ACCT0006295,COREWELL HEALTH,"8,964,935.38"
ACCT0001004,Thermo Fisher Scientific Inc,"8,962,302.00"
ACCT0007727,BMW AG,"8,939,925.24"
ACCT0143079,Infosys - Exxon Mobil,"8,916,574.80"
ACCT0173857,Cognizant - Enterprise,"8,908,739.75"
ACCT0009277,ALDI International Services SE & Co oHG,"8,870,237.52"
ACCT0001514,Medtronic Inc,"8,796,522.12"
ACCT0215964,Cognizant - KPN BV,"8,795,175.48"
ACCT0009261,Northwestern Mutual Life Insurance Company,"8,718,372.07"
ACCT0027557,McKinsey & Company Inc,"8,653,498.75"
ACCT0005598,National Australia Bank Ltd,"8,644,905.13"
ACCT0001078,Corteva Inc,"8,642,799.96"
ACCT0004354,PNC Bank NA,"8,605,430.75"
ACCT0000175,Caterpillar Inc,"8,545,583.80"
ACCT0006870,INTESA SANPAOLO SPA,"8,529,619.43"
ACCT0066545,Kyndryl - Dow Chemical,"8,513,739.24"
ACCT0081355,Farm Production And Conservation FPAC,"8,466,522.27"
ACCT0001501,Johnson Controls Intl,"8,435,916.72"
ACCT0001047,Eli Lilly & Co,"8,414,161.50"
ACCT0038943,Accenture MSP (IO),"8,367,165.97"
ACCT0215509,Cognizant - Gainwell Technologies LLC,"8,349,498.60"
ACCT0000495,First-Citizens Bank & Trust Co,"8,341,122.12"
ACCT0018404,Airbus France,"8,332,861.06"
ACCT0004066,The Huntington National Bank,"8,329,613.99"
ACCT0004536,M&T Bank Corp,"8,328,257.92"
ACCT0008607,Atos Information Technology GmbH,"8,301,239.57"
ACCT0106726,Cisco Managed Services,"8,252,818.20"
ACCT0150949,NTT Data Corp (GAIA),"8,249,647.33"
ACCT0003510,Apple Inc,"8,167,919.41"
ACCT0000738,The Procter & Gamble U.S. Business Services Company,"8,127,064.31"
ACCT0011117,Health Care Service Corp,"8,102,444.36"
ACCT0144649,IKEA IT AB - Ingka,"8,100,405.18"
ACCT0031529,Honeywell International Inc,"8,092,780.80"
ACCT0008786,Canadian Imperial Bank Of Commerce,"8,070,575.15"
ACCT0152744,Hitachi Energy Holdings Ltd,"8,007,001.85"
ACCT0136146,Computacenter UK Ltd MSP,"7,989,745.58"
ACCT0000172,Blue Cross and Blue Shield Of South Carolina,"7,861,935.44"
ACCT0009154,The Travelers Indemnity Company,"7,861,359.72"
ACCT0007532,"HCL America, Inc.","7,847,797"
ACCT0000451,Liberty Mutual Insurance Co,"7,822,023"
ACCT0048752,IBM Consulting,"7,778,035.50"
ACCT0069900,Government Technology Agency GovTech,"7,760,354.87"
ACCT0001657,Micron Technology Inc,"7,745,732.68"
ACCT0000185,Deere & Co,"7,721,136.84"
ACCT0122298,GE Digital CoreTech,"7,716,551.88"
ACCT0008908,BASF SE,"7,714,426.43"
ACCT0003522,CBRE Inc,"7,666,064.72"
ACCT0031360,HHS Assistant Secretary For Administration OCIO,"7,660,242.66"
ACCT0006679,CSL Behring LLC,"7,597,187.90"
ACCT0010935,National Geospatial Intelligence Agency NGA,"7,581,775.68"
ACCT0007215,Centers For Disease Control And Prevention CDC,"7,576,420.68"
ACCT0077641,National Highways Ltd,"7,570,939.59"
ACCT0011788,Boehringer Ingelheim GmbH,"7,547,613.35"
ACCT0076874,ICICI Bank Ltd,"7,501,346.44"
ACCT0015587,Zurich Insurance Co Ltd,"7,482,292.90"
ACCT0005041,Philips Corporate IT,"7,480,391.33"
ACCT0004277,Delta Air Lines Inc,"7,452,643.88"
ACCT0014354,Danske Bank AS,"7,446,676.18"
ACCT0060667,Zalando SE,"7,429,299.64"
ACCT0011453,Schweizerische Bundesbahnen SBB,"7,421,914.28"
ACCT0059218,NTT Communications Corp,"7,369,532.23"
ACCT0000515,Pfizer Inc,"7,356,757.48"
ACCT0008448,T-Systems International GmbH,"7,353,791.51"
ACCT0213374,Cognizant - Toyota Motor Sales USA Inc,"7,353,634.92"
ACCT0022210,Itau Unibanco SA,"7,349,698.46"
ACCT0082808,"Qualtrics, LLC","7,319,343.48"
ACCT0094929,Aflac Life Insurance Japan Ltd,"7,309,227.55"
ACCT0004765,Experian Ltd,"7,292,428.34"
ACCT0008298,Centers For Medicare & Medicaid Services,"7,264,662.16"
ACCT0086987,Infosys - Intel (ESS),"7,248,613.56"
ACCT0129281,UniCredit S.p.A.,"7,145,469.05"
ACCT0064932,Booking.com BV,"7,135,392.74"
ACCT0000627,Automatic Data Processing Inc,"7,087,628.76"
ACCT0004901,Willis Towers Watson US LLC,"7,014,689.64"
ACCT0005804,Schneider Electric Industries SAS,"7,009,429.33"
ACCT0161427,Marsh McLennan Inc,"6,985,702.92"
ACCT0174340,Agineo GmbH - ITZBund,"6,939,794.50"
ACCT0144761,DHS CBP OIT,"6,873,396.12"
ACCT0007577,"Rackspace US, Inc","6,868,207.80"
ACCT0005767,Regeneron Pharmaceuticals Inc,"6,866,468.40"
ACCT0008725,Canadian Tire Corporation Limited,"6,865,247.28"
ACCT0013331,Visa USA Inc,"6,844,764.52"
ACCT0018187,NextEra Energy,"6,811,321.96"
ACCT0025100,Comcast Corp,"6,804,883.50"
ACCT0003567,Jacobs Engineering Group Inc,"6,768,630.64"
ACCT0140883,CAGIP Vaugirard,"6,756,366.57"
ACCT0000912,AIG Global Operations Inc,"6,737,319.07"
ACCT0008670,Tenet Business Services Corporation,"6,710,422.71"
ACCT0017914,Equinor ASA,"6,685,922.37"
ACCT0217140,Cognizant - Gilead Sciences Inc,"6,675,042.20"
ACCT0025428,KPMG LLP UK,"6,627,084.66"
ACCT0005993,Kraft Heinz Foods Co,"6,606,907.50"
ACCT0164512,Daimler Truck AG,"6,606,661.76"
ACCT0007496,Tietoevry Tech Services Finland Oy,"6,587,036.62"
ACCT0000129,Teachers Insurance And Annuity Association Of America,"6,582,177.83"
ACCT0127880,Infosys - Sysco Foods,"6,572,619.96"
ACCT0012212,Baylor Scott & White Health LLC,"6,509,473.28"
ACCT0007574,National Grid Plc UK,"6,490,327.75"
ACCT0164109,Verizon Business Group - Managed Network Services,"6,474,702.12"
ACCT0212790,Cognizant - Nationwide,"6,459,555.60"
ACCT0001317,Exelon Business Services Co LLC,"6,427,808.83"
ACCT0163423,Amazon IT Services,"6,417,702.33"
ACCT0087737,Companhia De Processamento De Dados Do Estado De Sao Paulo Prodesp,"6,409,059.95"
ACCT0011011,DoDEA - Department of Defense Education Activity,"6,377,566"
ACCT0138144,Infosys - Citizens Financial Group,"6,370,970"
ACCT0121400,Computer Sciences Corp - Intermountain Health Inc,"6,366,808.52"
ACCT0006352,British American Shared Services (GSD) Limited,"6,361,037.12"
ACCT0021317,H&M Hennes & Mauritz GBC AB,"6,354,826.85"
ACCT0169324,Coforge – Brightspeed,"6,337,000.20"
ACCT0000285,Deutsche Bank AG,"6,319,453.89"
ACCT0126501,Novo Nordisk AS – Corporate,"6,314,093.86"
ACCT0031579,Murata Manufacturing Co Ltd,"6,268,003.67"
ACCT0013955,Food And Drug Administration FDA,"6,235,144.87"
ACCT0015851,"Zions Bancorporation, N.A.","6,223,812.28"
ACCT0216005,Cognizant -  Organon LLC,"6,187,033.27"
ACCT0015522,Heineken International BV,"6,181,690.83"
ACCT0019139,Home Office,"6,171,773.50"
ACCT0001938,City National Bank,"6,138,928.53"
ACCT0021660,ING Bank N.V.,"6,121,434.19"
ACCT0002384,Southwest Airlines Co,"6,107,980.30"
ACCT0019324,Maersk Line UK Ltd,"6,105,778.51"
ACCT0011398,ABB Ltd,"6,103,659.32"
ACCT0000298,Costco Wholesale Corp,"6,100,198.36"
ACCT0004709,British Airways/Intl Airlines Group,"6,096,482.46"
ACCT0039731,Siemens Healthineers AG,"6,081,946.87"
ACCT0035909,Prudential Financial GBTS,"6,066,760.20"
ACCT0001414,United Airlines Inc,"6,065,779.40"
ACCT0001755,Safeway Inc,"6,053,065.80"
ACCT0006940,Cox Automotive Inc,"6,039,765.14"
ACCT0021558,Secretary Of State For Environment Food & Rural Affairs,"5,924,969.64"
ACCT0171089,Defence Chief Information Officer Group,"5,924,320.07"
ACCT0000688,Abbott Laboratories,"5,913,932.77"
ACCT0068812,Fujitsu Services Ltd (TFSNOW EMEIA),"5,909,208.55"
ACCT0019896,Ministry Of Justice United Kingdom,"5,903,025.86"
ACCT0000066,MetLife Inc,"5,858,000.04"
ACCT0154396,Siemens Healthcare GmbH Sense,"5,835,985.80"
ACCT0005347,"Novant Health,  Inc.","5,815,081.52"
ACCT0009865,Merck KG Auf Aktien,"5,814,745.95"
ACCT0032659,Interxion BV,"5,805,907.01"
ACCT0000257,New York Life Insurance Co,"5,803,501.32"
ACCT0167481,WPP Group USA Inc,"5,781,444"
ACCT0001439,"American Family Mutual Insurance Company, S. I.","5,780,215.28"
ACCT0015695,Credit Suisse AG,"5,770,436.12"
ACCT0175038,Johnson & Johnson Consumer Inc,"5,747,181.19"
ACCT0080179,State Of Missouri - OA ITSD,"5,746,790.54"
ACCT0142993,NEC Corp (Internal),"5,721,935.08"
ACCT0090319,Zoom Video Communications Inc,"5,719,507.82"
ACCT0007873,JSOC - Joint Special Operations Command,"5,707,319.16"
ACCT0019899,Reckitt Benckiser Corporate Services Ltd,"5,706,065.42"
ACCT0006461,Intact Financial Corp,"5,704,430.04"
ACCT0000927,NVIDIA Corporation,"5,659,799.72"
ACCT0051563,DnB Bank ASA,"5,644,390.99"
ACCT0004370,T Rowe Price Group Inc,"5,635,634.72"
ACCT0138141,Infosys - HPE,"5,630,697.57"
ACCT0027884,Corporativo Bimbo SA De CV,"5,555,019.16"
ACCT0004055,The Cleveland Clinic Foundation,"5,531,015.20"
ACCT0077216,Air France-KLM,"5,522,098.84"
ACCT0142160,DB Systel GmbH - Vertrieb,"5,515,625.15"
ACCT0009160,Northgate Information Solutions Ltd,"5,494,513.85"
ACCT0008167,Teleperformance Group Inc,"5,478,465.62"
ACCT0000011,Allstate Insurance Co,"5,474,915.58"
ACCT0006404,American Honda Motor Co Inc,"5,474,323.44"
ACCT0007366,USDA DSC,"5,460,158.26"
ACCT0020739,DHS HQ,"5,456,781.73"
ACCT0059120,NTT Comware Corp,"5,443,942.51"
ACCT0004125,Raymond James & Associates Inc,"5,441,937.59"
ACCT0154788,Synapxe Pte Ltd,"5,437,185.65"
ACCT0008101,Rock Central LLC,"5,434,332.88"
ACCT0010253,Palo Alto Networks Inc,"5,423,809.56"
ACCT0085613,Fruition NCE - SIAM,"5,409,650.85"
ACCT0010054,UPMC,"5,409,419.77"
ACCT0018408,Amadeus IT Group,"5,392,863.17"
ACCT0017162,Scania CV AB,"5,350,123.32"
ACCT0018790,Ministere des Armees,"5,303,061.59"
ACCT0110210,HCA Inc,"5,277,059.12"
ACCT0213907,Infosys - CCEP,"5,265,696.18"
ACCT0019300,Telefonica / Vivo,"5,261,825.15"
ACCT0008619,KeyBank National Association,"5,245,994.97"
ACCT0012663,Hilton Domestic Operating Co Inc,"5,234,169.73"
ACCT0203434,Cognizant - Hartford Financial,"5,232,982.00"
ACCT0005988,Federal Emergency Management Agency,"5,178,707.35"
ACCT0003025,Duke Energy Corp,"5,175,912"
ACCT0002340,Sabre Holdings Corporate,"5,173,790.60"
ACCT0015753,Thomson Legal & Regulatory Inc,"5,162,448.72"
ACCT0001567,Trinity Health Corp,"5,152,452.27"
ACCT0004252,"L3Harris Technologies, Inc.","5,137,613.96"
ACCT0025146,AIA Shared Service (Hong Kong) Limited,"5,136,110.23"
ACCT0010819,Sky UK Ltd,"5,135,834.27"
ACCT0214172,Cognizant - Enterprise Embedded,"5,124,999.84"
ACCT0159570,Kyndryl CIO ServiceNow,"5,121,733.44"
ACCT0097577,Hewlett-Packard Nederland BV,"5,118,646.16"
ACCT0009437,DHL Information Services (Europe) s.r.o.,"5,111,768.29"
ACCT0027014,Insurance Australia Ltd,"5,104,637.84"
ACCT0031434,AB Volvo,"5,100,303.84"
ACCT0000988,Stryker Corporation,"5,085,216.96"
ACCT0022258,Bell Canada,"5,056,495.85"
ACCT0010814,US Dept Of The Treasury,"5,032,279.74"
ACCT0005639,Trane Technologies Company LLC,"5,027,481.33"
ACCT0076085,Infosys - E.ON,"5,004,037.06"
ACCT0215125,Fujitsu Ltd (Uvance),"5,000,004"
ACCT0018764,L'Oreal SA,"4,997,420.27"
ACCT0006177,Invesco Ltd,"4,986,546.72"
ACCT0019089,NASA Shared Services Center NSSC,"4,983,233.64"
ACCT0031819,Synchrony Financial,"4,976,652.72"
ACCT0156974,Infosys - Mondelez,"4,971,579.15"
ACCT0003115,Tennessee Valley Authority,"4,971,002.88"
ACCT0161267,Infosys - Kroger,"4,967,160"
ACCT0148740,DHA - J6,"4,966,150.80"
ACCT0010658,Federal National Mortgage Association,"4,962,714.07"
ACCT0000262,Sun Life Assurance Company of Canada,"4,959,497.01"
ACCT0098815,Kyndryl HST,"4,958,043.24"
ACCT0000487,LPL Financial Corp,"4,946,259.52"
ACCT0004643,Agency For Intl Development,"4,946,239.17"
ACCT0076526,BlackRock Inc,"4,945,954.80"
ACCT0015758,RSM US LLP,"4,942,614.36"
ACCT0015961,Total SA,"4,942,594.74"
ACCT0008030,SVB Financial Group,"4,938,182.48"
ACCT0010739,NSW DEPARTMENT OF EDUCATION,"4,913,945.83"
ACCT0001365,The Northern Trust Company,"4,907,848.44"
ACCT0143260,Infosys - Cummins,"4,901,008.84"
ACCT0021689,NBN Co Ltd,"4,895,672.57"
ACCT0158158,Telia Company AB - TeliaNOW,"4,893,442.41"
ACCT0005440,Centrica Plc,"4,862,918.68"
ACCT0005162,Marathon Petroleum Corp,"4,856,956.40"
ACCT0035723,Toyota Motor Corp,"4,855,353.16"
ACCT0000941,Chubb INA Holdings Inc.,"4,853,910.72"
ACCT0008757,General Services Administration,"4,844,549.25"
ACCT0001283,Baxter Intl Inc,"4,838,575.72"
ACCT0007328,Library Of Congress,"4,832,419.84"
ACCT0008684,Bank Of Tokyo-Mitsubishi UFJ Ltd,"4,831,506.85"
ACCT0020173,Best Buy Purchasing LLC,"4,802,211.59"
ACCT0000945,Paramount Global,"4,797,271.24"
ACCT0003007,Capital One Services LLC,"4,797,070.11"
ACCT0010395,NXP Semiconductors - Corporate,"4,776,957.05"
ACCT0002397,Waste Management Inc,"4,774,053.96"
ACCT0002383,Baker Hughes Oilfield Operations LLC,"4,756,277.16"
ACCT0000632,Red Hat Inc,"4,754,799.58"
ACCT0003100,SAS Institute Inc,"4,741,743.59"
ACCT0001242,State Of Colorado,"4,738,674.40"
ACCT0087520,European Commission - DIGIT,"4,737,480.90"
ACCT0001474,DTE Energy Co,"4,734,600"
ACCT0065399,Landeshauptstadt München,"4,726,362.13"
ACCT0015065,Finastra USA Corporation,"4,709,495"
ACCT0015972,Swedbank AB,"4,697,997.68"
ACCT0022372,Nomura Holdings Inc,"4,685,270.16"
ACCT0019444,AmerisourceBergen Services Corp,"4,682,856.94"
ACCT0156351,DHL International GmbH,"4,676,823.84"
ACCT0141225,State of Illinois Department of Innovation & Technology,"4,674,867.92"
ACCT0006196,Alberta Health Services,"4,655,027.76"
ACCT0011115,Sutter Health,"4,633,938"
ACCT0004975,Capgemini UK Plc,"4,616,906.54"
ACCT0153697,Deutsche Telekom IT GmbH,"4,588,856.95"
ACCT0076023,Sogei SpA,"4,574,016.59"
ACCT0000442,Entergy Corp,"4,573,231.43"
ACCT0015542,Munich Re,"4,548,280.14"
ACCT0000606,Juniper Networks Inc,"4,525,994.35"
ACCT0000211,Publicis Groupe,"4,498,070.02"
ACCT0016640,Robert Bosch GmbH,"4,497,535.61"
ACCT0009757,Splunk,"4,489,458.49"
ACCT0080741,FTV Business Services LLC,"4,470,157.92"
ACCT0032761,SWIFT Belgium,"4,464,961.40"
ACCT0003054,Laboratory Corp Of America Holdings,"4,457,994"
ACCT0005739,Brink's Inc,"4,449,506.88"
ACCT0139022,US Army Corps of Engineers - Information Technology USACE-IT,"4,407,819.01"
ACCT0008947,Kellogg Co,"4,402,436.04"
ACCT0001185,Sandia National Lab,"4,397,200.56"
ACCT0004564,News Corporate Services Inc,"4,385,312.64"
ACCT0154360,Wipro (CIO),"4,371,761.60"
ACCT0023882,NSW Police Force,"4,353,982.12"
ACCT0005847,Government of Alberta,"4,343,284.80"
ACCT0142116,Fujitsu France - La Poste,"4,335,384.88"
ACCT0009752,Lincoln Financial Group,"4,326,113.42"
ACCT0007276,Centura Health,"4,325,203.28"
ACCT0148849,Infosys - Tyson Foods,"4,323,620.04"
ACCT0144830,IDFC First Bank Ltd,"4,317,248.88"
ACCT0026672,Saipem SpA,"4,312,137.17"
ACCT0000666,7-Eleven Inc,"4,300,749.52"
ACCT0021904,MTN Group Ltd,"4,294,488.21"
ACCT0020202,Covea Groupe,"4,271,304.57"
ACCT0011080,Aon Service Corp,"4,265,897.60"
ACCT0172335,GOVO - HQ,"4,264,250.40"
ACCT0009242,Diageo Great Britain Ltd,"4,252,533.92"
ACCT0020345,Finanz Informatik GmbH & Co KG,"4,227,871.20"
ACCT0051128,Abu Dhabi National Oil Co,"4,227,662.15"
ACCT0178166,Infosys - Schlumberger (SLB),"4,221,468.40"
ACCT0017605,Transport for NSW - RDS,"4,218,434.09"
ACCT0011911,Carl Zeiss Gruppe,"4,212,695.24"
ACCT0005394,Altera Digital Health,"4,209,123"
ACCT0064116,EDF SA,"4,202,319.41"
ACCT0010291,Consumers Energy Company,"4,201,608"
ACCT0007220,PSCU,"4,201,408"
ACCT0015967,AB SKF,"4,201,084.36"
ACCT0023637,Albiant-IT,"4,196,654.09"
ACCT0207387,Infosys - Alcon Labs,"4,187,385.40"
ACCT0210531,Cognizant - WestRock,"4,180,191.84"
ACCT0000512,WellStar Health System Inc,"4,170,570.32"
ACCT0022937,Absa Bank Ltd,"4,167,487"
ACCT0005725,Commonwealth Of Pennsylvania,"4,160,383.70"
ACCT0139898,Aegon Global Technologies,"4,152,667.24"
ACCT0008314,Federal Deposit Insurance Corp,"4,147,379.40"
ACCT0002395,HE Butt Grocery Co,"4,147,279.92"
